File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
AFW_fibonacci_1Faults_Fault2.xlsx,46,25,1,timeout,46,46,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,1035,- (no 2-fault VBMdiags),1035,- (no 2-fault VBMdiags),15180,- (no 3-fault VBMdiags),15180,- (no 3-fault VBMdiags),
AFW_fibonacci_1Faults_Fault3.xlsx,46,25,2,2,2,40,89,903,0,9,0,1936,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,89,0 (89 diagnoses from 89 are in VBMdiags2),1020,931 (89 diagnoses from 1020 are in VBMdiags2),15166,13230 (1936 diagnoses from 15166 are in VBMdiags3),15178,13242 (1936 diagnoses from 15178 are in VBMdiags3),
AFW_fibonacci_2Faults_Fault1.xlsx,46,26,3,0,40,46,timeout,6,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,1020,- (no 2-fault VBMdiags),1035,- (no 2-fault VBMdiags),15175,- (no 3-fault VBMdiags),15180,- (no 3-fault VBMdiags),
AFW_fibonacci_2Faults_Fault3.xlsx,45,26,2,5,8,40,210,631,0,6,0,4310,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,324,114 (210 diagnoses from 324 are in VBMdiags2),980,770 (210 diagnoses from 980 are in VBMdiags2),14179,9869 (4310 diagnoses from 14179 are in VBMdiags3),14189,9879 (4310 diagnoses from 14189 are in VBMdiags3),
AFW_matrix_1Faults_Fault1.xlsx,13,51,2,6,12,12,57,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,251,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,21 (57 diagnoses from 78 are in VBMdiags2),78,21 (57 diagnoses from 78 are in VBMdiags2),286,35 (251 diagnoses from 286 are in VBMdiags3),286,35 (251 diagnoses from 286 are in VBMdiags3),
AFW_matrix_1Faults_Fault2.xlsx,13,51,1,7,13,13,63,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,266,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,15 (63 diagnoses from 78 are in VBMdiags2),78,15 (63 diagnoses from 78 are in VBMdiags2),286,20 (266 diagnoses from 286 are in VBMdiags3),286,20 (266 diagnoses from 286 are in VBMdiags3),
AFW_matrix_2Faults_Fault1.xlsx,13,51,2,1,12,12,42,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,231,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,36 (42 diagnoses from 78 are in VBMdiags2),78,36 (42 diagnoses from 78 are in VBMdiags2),286,55 (231 diagnoses from 286 are in VBMdiags3),286,55 (231 diagnoses from 286 are in VBMdiags3),
AFW_matrix_2Faults_Fault2.xlsx,13,51,2,1,12,12,42,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,231,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,36 (42 diagnoses from 78 are in VBMdiags2),78,36 (42 diagnoses from 78 are in VBMdiags2),286,55 (231 diagnoses from 286 are in VBMdiags3),286,55 (231 diagnoses from 286 are in VBMdiags3),
AFW_matrix_2Faults_Fault3.xlsx,13,51,2,6,12,12,57,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,251,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,21 (57 diagnoses from 78 are in VBMdiags2),78,21 (57 diagnoses from 78 are in VBMdiags2),286,35 (251 diagnoses from 286 are in VBMdiags3),286,35 (251 diagnoses from 286 are in VBMdiags3),
AFW_matrix_3Faults_Fault1.xlsx,13,51,1,1,13,13,48,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,246,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,30 (48 diagnoses from 78 are in VBMdiags2),78,30 (48 diagnoses from 78 are in VBMdiags2),286,40 (246 diagnoses from 286 are in VBMdiags3),286,40 (246 diagnoses from 286 are in VBMdiags3),
AFW_oscars2012_1Faults_Fault3.xlsx,22,60,2,2,11,11,77,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,880,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,176,99 (77 diagnoses from 176 are in VBMdiags2),176,99 (77 diagnoses from 176 are in VBMdiags2),1375,495 (880 diagnoses from 1375 are in VBMdiags3),1375,495 (880 diagnoses from 1375 are in VBMdiags3),
AFW_oscars2012_1Faults_Fault4.xlsx,22,60,3,10,10,10,165,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,1320,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,165,0 (165 diagnoses from 165 are in VBMdiags2),165,0 (165 diagnoses from 165 are in VBMdiags2),1320,0 (1320 diagnoses from 1320 are in VBMdiags3),1320,0 (1320 diagnoses from 1320 are in VBMdiags3),
AFW_oscars2012_1Faults_Fault5.xlsx,22,60,2,1,11,11,21,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,267,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,176,155 (21 diagnoses from 176 are in VBMdiags2),176,155 (21 diagnoses from 176 are in VBMdiags2),1375,1108 (267 diagnoses from 1375 are in VBMdiags3),1375,1108 (267 diagnoses from 1375 are in VBMdiags3),
AFW_oscars2012_2Faults_Fault2.xlsx,22,60,2,1,11,11,21,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,258,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,176,155 (21 diagnoses from 176 are in VBMdiags2),176,155 (21 diagnoses from 176 are in VBMdiags2),1375,1117 (258 diagnoses from 1375 are in VBMdiags3),1375,1117 (258 diagnoses from 1375 are in VBMdiags3),
AFW_parabola_1Faults_Fault1.xlsx,70,33,2,timeout,55,60,timeout,60,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2310,- (no 2-fault VBMdiags),2370,- (no 2-fault VBMdiags),54620,- (no 3-fault VBMdiags),54620,- (no 3-fault VBMdiags),
AFW_parabola_2Faults_Fault1.xlsx,70,33,2,timeout,55,60,timeout,60,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2310,- (no 2-fault VBMdiags),2370,- (no 2-fault VBMdiags),54620,- (no 3-fault VBMdiags),54620,- (no 3-fault VBMdiags),
AFW_parabola_2Faults_Fault2.xlsx,70,33,2,timeout,55,60,timeout,60,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2310,- (no 2-fault VBMdiags),2370,- (no 2-fault VBMdiags),54620,- (no 3-fault VBMdiags),54620,- (no 3-fault VBMdiags),
AFW_parabola_2Faults_Fault3.xlsx,70,33,2,timeout,55,60,timeout,60,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2310,- (no 2-fault VBMdiags),2370,- (no 2-fault VBMdiags),54620,- (no 3-fault VBMdiags),54620,- (no 3-fault VBMdiags),
AFW_parabola_3Faults_Fault1.xlsx,70,33,2,timeout,55,60,timeout,60,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2310,- (no 2-fault VBMdiags),2370,- (no 2-fault VBMdiags),54620,- (no 3-fault VBMdiags),54620,- (no 3-fault VBMdiags),
AFW_prom_calculator_1Faults_Fault1.xlsx,14,46,2,13,13,14,91,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,364,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,91,0 (91 diagnoses from 91 are in VBMdiags2),91,0 (91 diagnoses from 91 are in VBMdiags2),364,0 (364 diagnoses from 364 are in VBMdiags3),364,0 (364 diagnoses from 364 are in VBMdiags3),
AFW_prom_calculator_2Faults_Fault1.xlsx,14,46,2,13,13,14,91,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,364,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,91,0 (91 diagnoses from 91 are in VBMdiags2),91,0 (91 diagnoses from 91 are in VBMdiags2),364,0 (364 diagnoses from 364 are in VBMdiags3),364,0 (364 diagnoses from 364 are in VBMdiags3),
AFW_prom_calculator_2Faults_Fault2.xlsx,14,46,2,13,13,14,91,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,364,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,91,0 (91 diagnoses from 91 are in VBMdiags2),91,0 (91 diagnoses from 91 are in VBMdiags2),364,0 (364 diagnoses from 364 are in VBMdiags3),364,0 (364 diagnoses from 364 are in VBMdiags3),
AFW_prom_calculator_2Faults_Fault3.xlsx,14,46,2,13,13,14,91,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,364,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,91,0 (91 diagnoses from 91 are in VBMdiags2),91,0 (91 diagnoses from 91 are in VBMdiags2),364,0 (364 diagnoses from 364 are in VBMdiags3),364,0 (364 diagnoses from 364 are in VBMdiags3),
AFW_prom_calculator_3Faults_Fault1.xlsx,14,46,2,10,13,14,88,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,364,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,91,3 (88 diagnoses from 91 are in VBMdiags2),91,3 (88 diagnoses from 91 are in VBMdiags2),364,0 (364 diagnoses from 364 are in VBMdiags3),364,0 (364 diagnoses from 364 are in VBMdiags3),
AFW_ranking_1Faults_Fault2.xlsx,30,14,2,1,1,30,29,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,406,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,29,0 (29 diagnoses from 29 are in VBMdiags2),435,406 (29 diagnoses from 435 are in VBMdiags2),406,0 (406 diagnoses from 406 are in VBMdiags3),4060,3654 (406 diagnoses from 4060 are in VBMdiags3),
AFW_shares_1Faults_Fault1.xlsx,39,43,12,1,1,4,38,1,0,0,- (no 2-fault minimal FDMdiags) -,703,2,0,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),146,108 (38 diagnoses from 146 are in VBMdiags2),739,36 (703 diagnoses from 739 are in VBMdiags3),2594,1891 (703 diagnoses from 2594 are in VBMdiags3),
AFW_shares_1Faults_Fault2.xlsx,39,43,12,1,1,1,38,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,703,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),38,0 (38 diagnoses from 38 are in VBMdiags2),703,0 (703 diagnoses from 703 are in VBMdiags3),703,0 (703 diagnoses from 703 are in VBMdiags3),
AFW_shares_1Faults_Fault3.xlsx,39,43,12,1,1,9,39,1,1,0,- (no 2-fault minimal FDMdiags) -,741,2,2,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),306,267 (39 diagnoses from 306 are in VBMdiags2),739,0 (739 diagnoses from 739 are in VBMdiags3),5079,4338 (741 diagnoses from 5079 are in VBMdiags3),
AFW_shares_1Faults_Fault4.xlsx,39,43,12,1,1,5,39,1,1,0,- (no 2-fault minimal FDMdiags) -,741,2,2,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),180,141 (39 diagnoses from 180 are in VBMdiags2),739,0 (739 diagnoses from 739 are in VBMdiags3),3155,2414 (741 diagnoses from 3155 are in VBMdiags3),
AFW_shares_1Faults_Fault5.xlsx,39,43,12,1,1,1,38,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,703,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),38,0 (38 diagnoses from 38 are in VBMdiags2),703,0 (703 diagnoses from 703 are in VBMdiags3),703,0 (703 diagnoses from 703 are in VBMdiags3),
AFW_shares_2Faults_Fault1.xlsx,39,43,12,0,0,3,16,17,16,25,16,472,18,0,0,- (no 3-fault minimal FDMdiags) -,-,-,111,111 (0 diagnoses from 111 are in VBMdiags2),493,21 (472 diagnoses from 493 are in VBMdiags3),2549,2077 (472 diagnoses from 2549 are in VBMdiags3),
AFW_shares_2Faults_Fault2.xlsx,39,43,12,0,0,1,1,1,1,5,1,39,3,2,1,1,-,-,38,38 (0 diagnoses from 38 are in VBMdiags2),37,0 (37 diagnoses from 37 are in VBMdiags3),873,835 (38 diagnoses from 873 are in VBMdiags3),
AFW_shares_2Faults_Fault3.xlsx,39,43,12,0,0,0,17,17,17,28,17,494,1,1,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,493,0 (493 diagnoses from 493 are in VBMdiags3),658,164 (494 diagnoses from 658 are in VBMdiags3),
AFW_shares_3Faults_Fault1.xlsx,39,43,12,0,0,1,-,0,- (no 2-fault minimal QDMdiags) -,5,- (no 2-fault VBMdiags) -,16,17,16,22,16,-,-,38,- (no 2-fault VBMdiags),-,- (no 3-fault VBMdiags),873,873 (0 diagnoses from 873 are in VBMdiags3),
AFW_shopping_bedroom1_1Faults_Fault1.xlsx,32,67,3,15,15,15,360,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,4280,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,360,0 (360 diagnoses from 360 are in VBMdiags2),360,0 (360 diagnoses from 360 are in VBMdiags2),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),
AFW_shopping_bedroom1_1Faults_Fault2.xlsx,32,67,3,15,15,15,360,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,4280,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,360,0 (360 diagnoses from 360 are in VBMdiags2),360,0 (360 diagnoses from 360 are in VBMdiags2),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),
AFW_shopping_bedroom1_2Faults_Fault1.xlsx,32,67,3,15,15,15,360,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,4280,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,360,0 (360 diagnoses from 360 are in VBMdiags2),360,0 (360 diagnoses from 360 are in VBMdiags2),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),
AFW_shopping_bedroom1_2Faults_Fault2.xlsx,32,67,3,15,15,15,360,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,4280,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,360,0 (360 diagnoses from 360 are in VBMdiags2),360,0 (360 diagnoses from 360 are in VBMdiags2),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),4280,0 (4280 diagnoses from 4280 are in VBMdiags3),
AFW_shopping_bedroom1_2Faults_Fault3.xlsx,32,67,3,16,16,16,376,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,4400,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,376,0 (376 diagnoses from 376 are in VBMdiags2),376,0 (376 diagnoses from 376 are in VBMdiags2),4400,0 (4400 diagnoses from 4400 are in VBMdiags3),4400,0 (4400 diagnoses from 4400 are in VBMdiags3),
AFW_shopping_bedroom1_3Faults_Fault1.xlsx,32,67,3,0,0,0,240,240,240,240,240,3720,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,3720,0 (3720 diagnoses from 3720 are in VBMdiags3),3720,0 (3720 diagnoses from 3720 are in VBMdiags3),
AFW_shopping_bedroom2_1Faults_Fault2.xlsx,64,70,5,1,1,1,78,15,15,15,15,2763,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,63,0 (63 diagnoses from 63 are in VBMdiags2),63,0 (63 diagnoses from 63 are in VBMdiags2),2763,0 (2763 diagnoses from 2763 are in VBMdiags3),2763,0 (2763 diagnoses from 2763 are in VBMdiags3),
AFW_shopping_bedroom2_1Faults_Fault3.xlsx,64,71,5,1,1,64,63,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,1953,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,63,0 (63 diagnoses from 63 are in VBMdiags2),2016,1953 (63 diagnoses from 2016 are in VBMdiags2),1953,0 (1953 diagnoses from 1953 are in VBMdiags3),41664,39711 (1953 diagnoses from 41664 are in VBMdiags3),
AFW_shopping_bedroom2_1Faults_Fault4.xlsx,64,70,5,15,15,15,840,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,23240,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,840,0 (840 diagnoses from 840 are in VBMdiags2),840,0 (840 diagnoses from 840 are in VBMdiags2),23240,0 (23240 diagnoses from 23240 are in VBMdiags3),23240,0 (23240 diagnoses from 23240 are in VBMdiags3),
AFW_shopping_bedroom2_1Faults_Fault5.xlsx,64,70,5,15,15,15,840,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,23240,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,840,0 (840 diagnoses from 840 are in VBMdiags2),840,0 (840 diagnoses from 840 are in VBMdiags2),23240,0 (23240 diagnoses from 23240 are in VBMdiags3),23240,0 (23240 diagnoses from 23240 are in VBMdiags3),
AFW_shopping_bedroom2_2Faults_Fault2.xlsx,64,70,5,16,16,16,888,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,24368,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,888,0 (888 diagnoses from 888 are in VBMdiags2),888,0 (888 diagnoses from 888 are in VBMdiags2),24368,0 (24368 diagnoses from 24368 are in VBMdiags3),24368,0 (24368 diagnoses from 24368 are in VBMdiags3),
AFW_shopping_bedroom2_2Faults_Fault3.xlsx,64,70,6,0,0,0,225,225,225,225,225,10800,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,10800,0 (10800 diagnoses from 10800 are in VBMdiags3),10800,0 (10800 diagnoses from 10800 are in VBMdiags3),
AFW_training_1Faults_Fault1.xlsx,53,35,4,1,1,53,52,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,1326,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,52,0 (52 diagnoses from 52 are in VBMdiags2),1378,1326 (52 diagnoses from 1378 are in VBMdiags2),1326,0 (1326 diagnoses from 1326 are in VBMdiags3),23426,22100 (1326 diagnoses from 23426 are in VBMdiags3),
AFW_training_1Faults_Fault3.xlsx,53,34,3,12,12,12,558,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,12766,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,558,0 (558 diagnoses from 558 are in VBMdiags2),558,0 (558 diagnoses from 558 are in VBMdiags2),12766,0 (12766 diagnoses from 12766 are in VBMdiags3),12766,0 (12766 diagnoses from 12766 are in VBMdiags3),
AFW_training_1Faults_Fault4.xlsx,53,34,4,1,1,1,62,10,10,10,10,1781,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,52,0 (52 diagnoses from 52 are in VBMdiags2),52,0 (52 diagnoses from 52 are in VBMdiags2),1781,0 (1781 diagnoses from 1781 are in VBMdiags3),1781,0 (1781 diagnoses from 1781 are in VBMdiags3),
AFW_training_1Faults_Fault5.xlsx,53,34,3,12,12,12,558,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,12766,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,558,0 (558 diagnoses from 558 are in VBMdiags2),558,0 (558 diagnoses from 558 are in VBMdiags2),12766,0 (12766 diagnoses from 12766 are in VBMdiags3),12766,0 (12766 diagnoses from 12766 are in VBMdiags3),
AFW_training_2Faults_Fault1.xlsx,53,36,4,0,0,0,12,12,12,12,12,546,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,546,0 (546 diagnoses from 546 are in VBMdiags3),546,0 (546 diagnoses from 546 are in VBMdiags3),
AFW_training_2Faults_Fault2.xlsx,53,34,4,1,1,1,52,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,1326,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,52,0 (52 diagnoses from 52 are in VBMdiags2),52,0 (52 diagnoses from 52 are in VBMdiags2),1326,0 (1326 diagnoses from 1326 are in VBMdiags3),1326,0 (1326 diagnoses from 1326 are in VBMdiags3),
AFW_training_2Faults_Fault3.xlsx,53,34,3,12,12,12,558,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,12766,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,558,0 (558 diagnoses from 558 are in VBMdiags2),558,0 (558 diagnoses from 558 are in VBMdiags2),12766,0 (12766 diagnoses from 12766 are in VBMdiags3),12766,0 (12766 diagnoses from 12766 are in VBMdiags3),
AFW_weather_1Faults_Fault1.xlsx,41,70,5,1,1,1,40,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,40,0 (40 diagnoses from 40 are in VBMdiags2),40,0 (40 diagnoses from 40 are in VBMdiags2),780,0 (780 diagnoses from 780 are in VBMdiags3),780,0 (780 diagnoses from 780 are in VBMdiags3),
AFW_weather_1Faults_Fault2.xlsx,41,70,5,1,1,1,40,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,40,0 (40 diagnoses from 40 are in VBMdiags2),40,0 (40 diagnoses from 40 are in VBMdiags2),780,0 (780 diagnoses from 780 are in VBMdiags3),780,0 (780 diagnoses from 780 are in VBMdiags3),
AFW_weather_1Faults_Fault3.xlsx,41,70,5,1,1,1,40,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,40,0 (40 diagnoses from 40 are in VBMdiags2),40,0 (40 diagnoses from 40 are in VBMdiags2),780,0 (780 diagnoses from 780 are in VBMdiags3),780,0 (780 diagnoses from 780 are in VBMdiags3),
AFW_weather_1Faults_Fault4.xlsx,41,70,5,1,1,1,40,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,40,0 (40 diagnoses from 40 are in VBMdiags2),40,0 (40 diagnoses from 40 are in VBMdiags2),780,0 (780 diagnoses from 780 are in VBMdiags3),780,0 (780 diagnoses from 780 are in VBMdiags3),
AFW_weather_2Faults_Fault1.xlsx,41,70,6,18,34,34,567,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,8889,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,799,232 (567 diagnoses from 799 are in VBMdiags2),799,232 (567 diagnoses from 799 are in VBMdiags2),10625,1736 (8889 diagnoses from 10625 are in VBMdiags3),10625,1736 (8889 diagnoses from 10625 are in VBMdiags3),
AFW_weather_2Faults_Fault2.xlsx,41,70,5,1,1,1,40,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,40,0 (40 diagnoses from 40 are in VBMdiags2),40,0 (40 diagnoses from 40 are in VBMdiags2),780,0 (780 diagnoses from 780 are in VBMdiags3),780,0 (780 diagnoses from 780 are in VBMdiags3),
AFW_weather_2Faults_Fault3.xlsx,41,70,5,19,37,37,589,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,9120,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,814,225 (589 diagnoses from 814 are in VBMdiags2),814,225 (589 diagnoses from 814 are in VBMdiags2),10656,1536 (9120 diagnoses from 10656 are in VBMdiags3),10656,1536 (9120 diagnoses from 10656 are in VBMdiags3),
AFW_weather_3Faults_Fault1.xlsx,41,70,5,1,1,1,40,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,40,0 (40 diagnoses from 40 are in VBMdiags2),40,0 (40 diagnoses from 40 are in VBMdiags2),780,0 (780 diagnoses from 780 are in VBMdiags3),780,0 (780 diagnoses from 780 are in VBMdiags3),
